Accession,Species,Total read count,16S read count,16S on target %,ITS read count,ITS on target %,Symbiosis read count,Symbiosis on target %,Batch
ORNL-25-1-No,Albizia julibrissin,8939014,5384750,60.24%,2459226,27.51%,2427498,27.16%,Aug-25
ORNL-25-1-Rh,Albizia julibrissin,2065476,1677624,81.22%,517618,25.06%,56638,2.74%,Aug-25
ORNL-25-1-Ro,Albizia julibrissin,2890256,2212750,76.56%,1002276,34.68%,60034,2.08%,Aug-25
ORNL-7-2-No,Hylodesmum nudiflorum,7831668,2809078,35.87%,664782,8.49%,3503394,44.73%,Aug-25
ORNL-7-2-Rh,Hylodesmum nudiflorum,9167062,7914968,86.34%,2656448,28.98%,115544,1.26%,Aug-25
ORNL-7-2-Ro,Hylodesmum nudiflorum,3153380,1923654,61.00%,454848,14.42%,166150,5.27%,Aug-25
ORNL-8-2-No,Hylodesmum nudiflorum,3251204,1995558,61.38%,900692,27.70%,685436,21.08%,Aug-25
ORNL-8-2-Rh,Hylodesmum nudiflorum,858108,719752,83.88%,350712,40.87%,8666,1.01%,Aug-25
ORNL-8-2-Ro,Hylodesmum nudiflorum,6662046,5497464,82.52%,2585640,38.81%,13974,0.21%,Aug-25
OSBS-100-3-No,Chamaecrista nictitans,7088860,5223738,73.69%,1415158,19.96%,312862,4.41%,Aug-25
OSBS-100-3-Rh,Chamaecrista nictitans,28931690,5754254,19.89%,9930090,34.32%,163046,0.56%,Aug-25
OSBS-100-3-Ro,Chamaecrista nictitans,1873888,1268790,67.71%,269442,14.38%,129240,6.90%,Aug-25
OSBS-101-1-No,Galactia,6181012,4999256,80.88%,3242860,52.46%,44630,0.72%,Aug-25
OSBS-101-1-Rh,Galactia,3257032,2547506,78.22%,356056,10.93%,166808,5.12%,Aug-25
OSBS-101-1-Ro,Galactia,7334702,3609668,49.21%,1506808,20.54%,185388,2.53%,Aug-25
OSBS-102-1-No,Desmodium strictum,38489726,24903374,64.70%,1433292,3.72%,26956,0.07%,Aug-25
OSBS-102-1-Rh,Desmodium strictum,4774010,2670736,55.94%,694700,14.55%,194326,4.07%,Aug-25
OSBS-102-1-Ro,Desmodium strictum,3276512,2172724,66.31%,901146,27.50%,209500,6.39%,Aug-25
OSBS-103-2-No,Galactia,7043750,4220536,59.92%,920302,13.07%,283418,4.02%,Aug-25
OSBS-103-2-Rh,Galactia,5068104,3508696,69.23%,508414,10.03%,230540,4.55%,Aug-25
OSBS-103-2-Ro,Galactia,4135832,2100776,50.79%,758662,18.34%,480836,11.63%,Aug-25
OSBS-104-1-No,Crotalaria maritima,11808786,2884290,24.42%,678534,5.75%,8401020,71.14%,Aug-25
OSBS-104-1-Ro,Crotalaria maritima,16010000,4668722,29.16%,3114776,19.46%,377668,2.36%,Aug-25
OSBS-106-1-No,Lespedeza hirta,15882946,6041028,38.03%,2617364,16.48%,516892,3.25%,Aug-25
OSBS-106-1-Ro,Lespedeza hirta,6296576,5704008,90.59%,1556214,24.72%,19538,0.31%,Aug-25
OSBS-107-No,Desmodium obtusum,12029484,3854394,32.04%,412412,3.43%,6080128,50.54%,Aug-25
OSBS-107-Rh,Desmodium obtusum,1457824,661366,45.37%,119528,8.20%,66732,4.58%,Aug-25
OSBS-107-Ro,Desmodium obtusum,7067902,6453618,91.31%,1098028,15.54%,48814,0.69%,Aug-25
OSBS-109-4-No,Crotalaria spectabilis,9476200,1677004,17.70%,559226,5.90%,5647152,59.59%,Aug-25
OSBS-109-4-Ro,Crotalaria spectabilis,3734746,2561230,68.58%,1503372,40.25%,92198,2.47%,Aug-25
OSBS-110-1-No,Crotalaria incana,11262086,2479058,22.01%,323864,2.88%,7353122,65.29%,Aug-25
OSBS-25-1-Rh,Tephrosia virginiana,2545354,1365584,53.65%,259566,10.20%,131196,5.15%,Aug-25
OSBS-25-1-Ro,Tephrosia virginiana,3635904,2775252,76.33%,514398,14.15%,21530,0.59%,Aug-25
OSBS-28-1-No,Galactia sp.,3875450,2076184,53.57%,540118,13.94%,237000,6.12%,Aug-25
OSBS-28-1-Rh,Galactia sp.,7349034,3251460,44.24%,1207354,16.43%,272766,3.71%,Aug-25
OSBS-28-1-Ro,Galactia sp.,2452284,1505930,61.41%,406794,16.59%,188100,7.67%,Aug-25
OSBS-29-1-Rh,Lespedeza sp.,4674154,2396288,51.27%,474560,10.15%,316114,6.76%,Aug-25
OSBS-29-1-Ro,Lespedeza sp.,4267956,2772620,64.96%,2043432,47.88%,10422,0.24%,Aug-25
OSBS-30-1-Rh,Rhynchosia sp.,2620580,1619132,61.79%,290316,11.08%,62026,2.37%,Aug-25
OSBS-30-1-Ro,Rhynchosia sp.,5149044,702318,13.64%,258112,5.01%,1314,0.03%,Aug-25
OSBS-31-1-Rh,Rhynchosia reniformis,6979120,469514,6.73%,88606,1.27%,50056,0.72%,Aug-25
OSBS-31-1-Ro,Rhynchosia reniformis,4684366,451838,9.65%,226276,4.83%,912,0.02%,Aug-25
OSBS-46-1-No,Crotalaria maritima,4910980,606748,12.35%,97136,1.98%,84848,1.73%,Aug-25
OSBS-46-1-Ro,Crotalaria maritima,7420792,4793884,64.60%,1393046,18.77%,569502,7.67%,Aug-25
OSBS-49-1-No,Lespedeza hirta,11789970,9247482,78.44%,1663596,14.11%,1130470,9.59%,Aug-25
OSBS-49-1-Rh,Lespedeza hirta,2242152,1392258,62.09%,270280,12.05%,127064,5.67%,Aug-25
OSBS-49-1-Ro,Lespedeza hirta,7943362,6277290,79.03%,2566552,32.31%,39106,0.49%,Aug-25
OSBS-51-1-No,Mimosa quadrivalvus,4626146,2600222,56.21%,1445280,31.24%,29690,0.64%,Aug-25
OSBS-51-1-Rh,Mimosa quadrivalvus,2588774,1539600,59.47%,348046,13.44%,145928,5.64%,Aug-25
OSBS-51-1-Ro,Mimosa quadrivalvus,3067626,1608992,52.45%,992810,32.36%,24326,0.79%,Aug-25
OSBS-52-2-No,Morella cerifera,12552946,7136722,56.85%,2404812,19.16%,3701746,29.49%,Aug-25
OSBS-52-2-Rh,Morella cerifera,4836448,2773612,57.35%,382232,7.90%,158932,3.29%,Aug-25
OSBS-52-2-Ro,Morella cerifera,5469916,3451130,63.09%,848038,15.50%,84158,1.54%,Aug-25
OSBS-55-1-No,Lespedeza hirta,18670120,12859302,68.88%,4766270,25.53%,1111518,5.95%,Aug-25
OSBS-55-1-Rh,Lespedeza hirta,3905578,2233200,57.18%,552688,14.15%,174248,4.46%,Aug-25
OSBS-55-1-Ro,Lespedeza hirta,9283126,6717384,72.36%,2834654,30.54%,559354,6.03%,Aug-25
OSBS-69-1-No,Lespedeza sp.,6323726,2670006,42.22%,1451696,22.96%,1866690,29.52%,Aug-25
OSBS-69-1-Rh,Lespedeza sp.,2754172,1537970,55.84%,276754,10.05%,314410,11.42%,Aug-25
OSBS-69-1-Ro,Lespedeza sp.,4730098,3449812,72.93%,1538540,32.53%,19340,0.41%,Aug-25
OSBS-91-1-No,Stylosanthes biflora,18666194,7244248,38.81%,1851296,9.92%,516984,2.77%,Aug-25
OSBS-91-1-Rh,Stylosanthes biflora,763810,368396,48.23%,42356,5.55%,47760,6.25%,Aug-25
OSBS-91-1-Ro,Stylosanthes biflora,16472844,3526584,21.41%,2749968,16.69%,349504,2.12%,Aug-25
OSBS-95-3-Rh,Dalea feayi,4264728,2908364,68.20%,1331526,31.22%,109032,2.56%,Aug-25
OSBS-95-3-Ro,Dalea feayi,19870982,9863064,49.64%,3195350,16.08%,723342,3.64%,Aug-25
OSBS-97-2-Rh,Mimosa quadrivalvus,8328610,5139224,61.71%,394156,4.73%,643656,7.73%,Aug-25
OSBS-97-2-Ro,Mimosa quadrivalvus,5878250,4459996,75.87%,1517644,25.82%,186870,3.18%,Aug-25
OSBS-99-No,Tephrosia chrysophylla,1962218,1225954,62.48%,571662,29.13%,50386,2.57%,Aug-25
OSBS-99-Rh,Tephrosia chrysophylla,2843904,1715810,60.33%,493348,17.35%,137452,4.83%,Aug-25
OSBS-99-Ro,Tephrosia chrysophylla,2826502,2155840,76.27%,1108392,39.21%,10402,0.37%,Aug-25
OSBS-CEVI-50-3-No,Centrosema virginiana,4817924,2713330,56.32%,1227300,25.47%,848856,17.62%,Aug-25
OSBS-CEVI-50-3-Rh,Centrosema virginiana,22088538,10355020,46.88%,3030418,13.72%,717798,3.25%,Aug-25
OSBS-CEVI-50-3-Ro,Centrosema virginiana,4925128,3714374,75.42%,999560,20.30%,105310,2.14%,Aug-25
OSBS-DETR-64-3-No,Desmodium triflorum,1441770,1039162,72.08%,123868,8.59%,77368,5.37%,Aug-25
OSBS-DETR-64-3-Rh,Desmodium triflorum,3760432,2390698,63.58%,495268,13.17%,128762,3.42%,Aug-25
OSBS-DETR-64-3-Ro,Desmodium triflorum,9197540,7595634,82.58%,3137408,34.11%,118212,1.29%,Aug-25
OSBS-LEHI-62-5-No,Rhynchosia reniformis,8492206,4123504,48.56%,582634,6.86%,3150592,37.10%,Aug-25
OSBS-LEHI-62-5-Rh,Rhynchosia reniformis,7396746,2997284,40.52%,1118348,15.12%,293086,3.96%,Aug-25
OSBS-LEHI-62-5-Ro,Rhynchosia reniformis,5290778,4717302,89.16%,1392730,26.32%,16278,0.31%,Aug-25
OSBS-TEVI-61-4-No,Tephrosia virginiana,4932472,2669334,54.12%,681710,13.82%,1241504,25.17%,Aug-25
OSBS-TEVI-61-4-Rh,Tephrosia virginiana,5044980,1422100,28.19%,683712,13.55%,94060,1.86%,Aug-25
OSBS-TEVI-61-4-Ro,Tephrosia virginiana,2509242,1659404,66.13%,802922,32.00%,3444,0.14%,Aug-25
RMNP-1-No,Thermopsis divaricarpa,8331392,2781380,33.38%,782874,9.40%,4544716,54.55%,Aug-25
RMNP-1-Rh,Thermopsis divaricarpa,3725402,1846400,49.56%,534956,14.36%,231242,6.21%,Aug-25
RMNP-1-Ro,Thermopsis divaricarpa,3065782,2690738,87.77%,850644,27.75%,6962,0.23%,Aug-25
RMNP-2-No,Thermopsis divaricarpa,5487412,1932344,35.21%,730044,13.30%,2754946,50.20%,Aug-25
RMNP-2-Rh,Thermopsis divaricarpa,7273436,3109918,42.76%,720412,9.90%,3443434,47.34%,Aug-25
RMNP-2-Ro,Thermopsis divaricarpa,4497668,3846346,85.52%,1022850,22.74%,21422,0.48%,Aug-25
RMNP-3-No,Oxytropis multiceps,4083532,2056460,50.36%,474512,11.62%,1157220,28.34%,Aug-25
RMNP-3-Rh,Oxytropis multiceps,5461176,3488154,63.87%,832682,15.25%,243884,4.47%,Aug-25
RMNP-3-Ro,Oxytropis multiceps,5200220,2196290,42.23%,1506146,28.96%,224922,4.33%,Aug-25
RMNP-4-No,Oxytropis multiceps,2279276,1364398,59.86%,192810,8.46%,123512,5.42%,Aug-25
RMNP-4-Rh,Oxytropis multiceps,4717110,3131172,66.38%,360610,7.64%,241450,5.12%,Aug-25
RMNP-4-Ro,Oxytropis multiceps,5004516,3687866,73.69%,2866536,57.28%,4774,0.10%,Aug-25
RMNP-5-1-No,Ceanothus velutinus,8358562,5095296,60.96%,2072224,24.79%,2418898,28.94%,Aug-25
RMNP-5-1-Rh,Ceanothus velutinus,9820,6490,66.09%,2022,20.59%,992,10.10%,Aug-25
RMNP-5-1-Ro,Ceanothus velutinus,11912,8588,72.10%,2790,23.42%,1002,8.41%,Aug-25
SCBI-10-1-No,Elaeagnus umbellata,19095752,9146324,47.90%,3159908,16.55%,1067852,5.59%,Aug-25
SCBI-10-1-Rh,Lespedeza cuneata,3813264,2284266,59.90%,449360,11.78%,110130,2.89%,Aug-25
SCBI-10-1-Ro,Elaeagnus umbellata,4131232,2790070,67.54%,1477530,35.76%,101966,2.47%,Aug-25
SCBI-11-1-No,Amphicarpaea bracteata,8453092,3326332,39.35%,404432,4.78%,4049488,47.91%,Aug-25
SCBI-11-1-Rh,Amphicarpaea bracteata,3424970,2525696,73.74%,500262,14.61%,282670,8.25%,Aug-25
SCBI-11-1-Ro,Amphicarpaea bracteata,6036592,4778692,79.16%,945336,15.66%,91834,1.52%,Aug-25
SCBI-1-1-Rh,Lespedeza cuneata,3989002,1876620,47.04%,431758,10.82%,205280,5.15%,Aug-25
SCBI-1-1-Ro,Lespedeza cuneata,2901418,1991858,68.65%,926582,31.94%,10630,0.37%,Aug-25
SCBI-12-1-No,Amphicarpaea bracteata,17293234,14879782,86.04%,4162708,24.07%,1254774,7.26%,Aug-25
SCBI-12-1-Rh,Amphicarpaea bracteata,6429020,4629190,72.00%,657756,10.23%,454116,7.06%,Aug-25
SCBI-12-1-Ro,Amphicarpaea bracteata,10435806,8907694,85.36%,2695510,25.83%,162940,1.56%,Aug-25
SCBI-13-1-No,Elaeagnus umbellata,3739342,2235812,59.79%,490036,13.10%,1146774,30.67%,Aug-25
SCBI-13-1-Rh,Elaeagnus umbellata,4643142,2705702,58.27%,508770,10.96%,234078,5.04%,Aug-25
SCBI-13-1-Ro,Elaeagnus umbellata,3110378,2402074,77.23%,888426,28.56%,57214,1.84%,Aug-25
SCBI-2-1-No,Lespedeza cuneata,10544426,2795270,26.51%,2023010,19.19%,142600,1.35%,Aug-25
SCBI-2-1-Rh,Lespedeza cuneata,10402810,4410886,42.40%,1882338,18.09%,281620,2.71%,Aug-25
SCBI-2-1-Ro,Lespedeza cuneata,6116286,3439324,56.23%,504246,8.24%,379242,6.20%,Aug-25
SCBI-3-1-No,Elaeagnus umbellata,5109048,3144064,61.54%,997542,19.53%,1347492,26.37%,Aug-25
SCBI-3-1-Rh,Elaeagnus umbellata,4391472,2953688,67.26%,533270,12.14%,228486,5.20%,Aug-25
SCBI-3-1-Ro,Elaeagnus umbellata,4550426,3339908,73.40%,691856,15.20%,123688,2.72%,Aug-25
SCBI-4-1-No,Amphicarpaea bracteata,12495252,9221778,73.80%,1769700,14.16%,1903606,15.23%,Aug-25
SCBI-4-1-Rh,Amphicarpaea bracteata,4587524,2276444,49.62%,484162,10.55%,955050,20.82%,Aug-25
SCBI-4-1-Ro,Amphicarpaea bracteata,23862624,22187330,92.98%,3352182,14.05%,66942,0.28%,Aug-25
SCBI-5-1-No,Robinia pseudoacacia,11719556,3705142,31.62%,899366,7.67%,7016852,59.87%,Aug-25
SCBI-5-1-Rh,Robinia pseudoacacia,3534050,2108608,59.67%,467404,13.23%,102128,2.89%,Aug-25
SCBI-5-1-Ro,Robinia pseudoacacia,10242660,8775178,85.67%,3892208,38.00%,12886,0.13%,Aug-25
SCBI-6-1-No,Amphicarpaea bracteata,10623508,3396008,31.97%,684538,6.44%,5646184,53.15%,Aug-25
SCBI-6-1-Rh,Amphicarpaea bracteata,5359266,2082000,38.85%,560010,10.45%,380728,7.10%,Aug-25
SCBI-6-1-Ro,Amphicarpaea bracteata,6623804,5166952,78.01%,1631270,24.63%,113028,1.71%,Aug-25
SCBI-7-1-No,Trifolium repens,14124134,4804656,34.02%,878922,6.22%,6995642,49.53%,Aug-25
SCBI-7-1-Rh,Trifolium repens,4311998,2909142,67.47%,463046,10.74%,261846,6.07%,Aug-25
SCBI-7-1-Ro,Trifolium repens,4293450,3171812,73.88%,2251554,52.44%,94256,2.20%,Aug-25
SCBI-8-2-No,Elaeagnus umbellata,7246274,4586496,63.29%,1374010,18.96%,1587578,21.91%,Aug-25
SCBI-8-2-Rh,Elaeagnus umbellata,3656030,1545594,42.28%,580996,15.89%,192016,5.25%,Aug-25
SCBI-8-2-Ro,Elaeagnus umbellata,4635050,3218702,69.44%,1167756,25.19%,104592,2.26%,Aug-25
SCBI-9-2-No,Amphicarpaea bracteata,13180932,10440280,79.21%,3320248,25.19%,1192052,9.04%,Aug-25
SCBI-9-2-Rh,Amphicarpaea bracteata,5974568,2609092,43.67%,796392,13.33%,272226,4.56%,Aug-25
SCBI-9-2-Ro,Amphicarpaea bracteata,12414858,11383928,91.70%,1772248,14.28%,30792,0.25%,Aug-25
SERC-1-1-No,Elaeagnus umbellata,14359216,12154828,84.65%,2419684,16.85%,1882392,13.11%,Aug-25
SERC-1-1-Rh,Elaeagnus umbellata,961898,692238,71.97%,169266,17.60%,32104,3.34%,Aug-25
SERC-1-1-Ro,Elaeagnus umbellata,4849260,3561582,73.45%,1376340,28.38%,308408,6.36%,Aug-25
SERC-2-1-No,Elaeagnus umbellata,19999278,16430676,82.16%,4692326,23.46%,2546528,12.73%,Aug-25
SERC-2-1-Rh,Elaeagnus umbellata,4243600,2010060,47.37%,573816,13.52%,179550,4.23%,Aug-25
SERC-2-1-Ro,Elaeagnus umbellata,6170880,5066566,82.10%,2142194,34.71%,63290,1.03%,Aug-25
SERC-3-1-Rh,Amphicarpaea bracteata,5257638,3054226,58.09%,618092,11.76%,326002,6.20%,Aug-25
SERC-3-1-Ro,Amphicarpaea bracteata,6357732,5825646,91.63%,1040486,16.37%,26046,0.41%,Aug-25
SERC-4-1-No,Glycine max,8155016,5150178,63.15%,2323388,28.49%,2124908,26.06%,Aug-25
SERC-4-1-Rh,Glycine max,7576870,3957742,52.23%,951304,12.56%,326086,4.30%,Aug-25
SERC-4-1-Ro,Glycine max,20091780,19144104,95.28%,4071818,20.27%,64216,0.32%,Aug-25
SERC-5-1-No,Glycine max,10485372,5573378,53.15%,943776,9.00%,2945862,28.09%,Aug-25
SERC-5-1-Rh,Glycine max,4677456,3172290,67.82%,631394,13.50%,333834,7.14%,Aug-25
SERC-5-1-Ro,Glycine max,25681176,24500048,95.40%,5742598,22.36%,31372,0.12%,Aug-25
SERC-6-1-No,Glycine max,52094000,3027830,5.81%,421690,0.81%,48980784,94.02%,Aug-25
SERC-6-1-Rh,Glycine max,9287902,5128074,55.21%,675824,7.28%,2988934,32.18%,Aug-25
SERC-6-1-Ro,Glycine max,5480796,4734232,86.38%,1625024,29.65%,164764,3.01%,Aug-25
SERC-7-1-No,Glycine max,21935072,9186774,41.88%,1962136,8.95%,13765884,62.76%,Aug-25
SERC-7-1-Rh,Glycine max,8308524,5499846,66.20%,980726,11.80%,377868,4.55%,Aug-25
SERC-7-1-Ro,Glycine max,5062230,3861838,76.29%,1253472,24.76%,149522,2.95%,Aug-25
SJER-1-1-No,Lupinus bicolor,8969900,6097358,67.98%,5415556,60.37%,1290880,14.39%,Aug-25
SJER-1-1-Rh,Lupinus bicolor,2888972,1704158,58.99%,343330,11.88%,246792,8.54%,Aug-25
SJER-1-1-Ro,Lupinus bicolor,11531170,10221106,88.64%,8783188,76.17%,29480,0.26%,Aug-25
SJER-2-3-No,Trifolium variegatum,15314548,6858180,44.78%,2674268,17.46%,7722376,50.43%,Aug-25
SJER-2-3-Rh,Trifolium variegatum,10562284,9048066,85.66%,923640,8.74%,644812,6.10%,Aug-25
SJER-2-3-Ro,Trifolium variegatum,4892700,3000056,61.32%,1584328,32.38%,148848,3.04%,Aug-25
SJER-3-5-No,Lupinus benthamii/Acmispon sp.,5670032,3408680,60.12%,1777294,31.35%,1325114,23.37%,Aug-25
SJER-3-5-Rh,Lupinus benthamii/Acmispon sp.,5918756,4414742,74.59%,841584,14.22%,578330,9.77%,Aug-25
SJER-3-5-Ro,Lupinus benthamii/Acmispon sp.,9846228,8137036,82.64%,3803566,38.63%,125810,1.28%,Aug-25
SJER-4-1-No,Lupinus bicolor,2704336,1357702,50.20%,654866,24.22%,99372,3.67%,Aug-25
SJER-4-1-Rh,Lupinus bicolor,6814384,5365036,78.73%,1124264,16.50%,219150,3.22%,Aug-25
SJER-4-1-Ro,Lupinus bicolor,10690414,9392128,87.86%,8583190,80.29%,20706,0.19%,Aug-25
SJER-5-1-No,Lupinus bicolor,21118268,18057622,85.51%,14882430,70.47%,950354,4.50%,Aug-25
SJER-5-1-Rh,Lupinus bicolor,2349560,1694340,72.11%,133734,5.69%,149914,6.38%,Aug-25
SJER-5-1-Ro,Lupinus bicolor,7758318,6733728,86.79%,6158212,79.38%,38012,0.49%,Aug-25
TALL-10-4-No,Stylosanthes biflora,7009612,3563166,50.83%,1385076,19.76%,379208,5.41%,Aug-25
TALL-10-4-Rh,Stylosanthes biflora,2042704,1299822,63.63%,255288,12.50%,85384,4.18%,Aug-25
TALL-10-4-Ro,Stylosanthes biflora,10268126,8608630,83.84%,7216060,70.28%,8614,0.08%,Aug-25
TALL-11-1-No,Tephrosia virginiana,2403518,1556960,64.78%,279098,11.61%,152348,6.34%,Aug-25
TALL-11-1-Rh,Tephrosia virginiana,2699794,1893018,70.12%,324142,12.01%,117998,4.37%,Aug-25
TALL-11-1-Ro,Tephrosia virginiana,2485044,1458982,58.71%,317264,12.77%,109950,4.42%,Aug-25
TALL-12-2-No,Desmodium ciliare,8240294,3053466,37.06%,665086,8.07%,3988734,48.41%,Aug-25
TALL-12-2-Rh,Desmodium ciliare,4468882,1428210,31.96%,882734,19.75%,98006,2.19%,Aug-25
TALL-12-2-Ro,Desmodium ciliare,12364228,8484018,68.62%,4534016,36.67%,809836,6.55%,Aug-25
TALL-13-3-No,Robinia pseudoacacia,11759514,2979664,25.34%,719450,6.12%,7635510,64.93%,Aug-25
TALL-13-3-Rh,Robinia pseudoacacia,8240086,4604034,55.87%,1825510,22.15%,301732,3.66%,Aug-25
TALL-13-3-Ro,Robinia pseudoacacia,3779874,2234590,59.12%,199354,5.27%,247162,6.54%,Aug-25
TALL-14-2-No,Desmodium sp.,18715616,16171666,86.41%,2242268,11.98%,1249004,6.67%,Aug-25
TALL-14-2-Rh,Desmodium sp.,8130058,5326768,65.52%,688960,8.47%,338012,4.16%,Aug-25
TALL-14-2-Ro,Desmodium sp.,8368004,6144824,73.43%,381956,4.56%,385806,4.61%,Aug-25
TALL-15-2-No,Strophostyles umbellata,14418090,2757244,19.12%,632964,4.39%,9803384,67.99%,Aug-25
TALL-15-2-Rh,Strophostyles umbellata,1663216,1065790,64.08%,251806,15.14%,111050,6.68%,Aug-25
TALL-15-2-Ro,Strophostyles umbellata,16695850,15356630,91.98%,3982996,23.86%,12198,0.07%,Aug-25
TALL-16-No,Lespedeza sp.,9656700,6776962,70.18%,1543988,15.99%,1412162,14.62%,Aug-25
TALL-16-Rh,Lespedeza sp.,4545552,2568530,56.51%,488980,10.76%,308476,6.79%,Aug-25
TALL-16-Ro,Lespedeza sp.,2525546,1632152,64.63%,816744,32.34%,10342,0.41%,Aug-25
TALL-17-2-No,Desmodium rotundifolia,8217192,3174930,38.64%,1359522,16.54%,2018888,24.57%,Aug-25
TALL-17-2-Rh,Desmodium rotundifolia,3126188,1637696,52.39%,361462,11.56%,126326,4.04%,Aug-25
TALL-17-2-Ro,Desmodium rotundifolia,2168476,1565084,72.17%,1104284,50.92%,6016,0.28%,Aug-25
TALL-18-1-No,Desmodium viridiflorum,6024166,2816738,46.76%,1384274,22.98%,1724404,28.62%,Aug-25
TALL-18-1-Rh,Desmodium viridiflorum,8400966,4220942,50.24%,1570864,18.70%,296182,3.53%,Aug-25
TALL-18-1-Ro,Desmodium viridiflorum,6245144,3037396,48.64%,1899388,30.41%,127780,2.05%,Aug-25
TALL-19-2-No,Desmodium sp.,15845352,5689784,35.91%,678852,4.28%,7135298,45.03%,Aug-25
TALL-19-2-Rh,Desmodium sp.,2546036,1549050,60.84%,169240,6.65%,136046,5.34%,Aug-25
TALL-19-2-Ro,Desmodium sp.,3038886,2023586,66.59%,325086,10.70%,124036,4.08%,Aug-25
TALL-20-1-No,Desmodium paniculatum,16224128,13040534,80.38%,2926028,18.04%,1578894,9.73%,Aug-25
TALL-20-1-Rh,Desmodium paniculatum,2387394,1296350,54.30%,319910,13.40%,115156,4.82%,Aug-25
TALL-20-1-Ro,Desmodium paniculatum,11188012,8280588,74.01%,3583180,32.03%,119308,1.07%,Aug-25
TALL-21-2-No,Desmodium paniculatum,11969406,6226230,52.02%,2418190,20.20%,998670,8.34%,Aug-25
TALL-21-2-Rh,Desmodium paniculatum,3688752,2070242,56.12%,523852,14.20%,194198,5.26%,Aug-25
TALL-21-2-Ro,Desmodium paniculatum,15303962,11650908,76.13%,4566350,29.84%,295574,1.93%,Aug-25
TALL-22-No,Galactia volubilis,6330016,4453796,70.36%,1875000,29.62%,699060,11.04%,Aug-25
TALL-22-Rh,Galactia volubilis,7578442,3937300,51.95%,1004888,13.26%,437446,5.77%,Aug-25
TALL-22-Ro,Galactia volubilis,3877324,3179056,81.99%,1253970,32.34%,6298,0.16%,Aug-25
TALL-23-2-No,Clitoria sp.,7674280,4036238,52.59%,743778,9.69%,1587286,20.68%,Aug-25
TALL-23-2-Rh,Clitoria sp.,5138946,2598114,50.56%,680024,13.23%,219694,4.28%,Aug-25
TALL-23-2-Ro,Clitoria sp.,33284726,23188464,69.67%,8238500,24.75%,925806,2.78%,Aug-25
TALL-2-3-No,Desmodium ciliare,8627888,3271174,37.91%,733438,8.50%,4004646,46.42%,Aug-25
TALL-2-3-Rh,Desmodium ciliare,6399002,3781174,59.09%,1098282,17.16%,365802,5.72%,Aug-25
TALL-2-3-Ro,Desmodium ciliare,15985602,6556140,41.01%,2781898,17.40%,706266,4.42%,Aug-25
TALL-24-2-No,Strophostyles umbellata,27278472,21551622,79.01%,1606064,5.89%,4138882,15.17%,Aug-25
TALL-24-2-Rh,Strophostyles umbellata,7818172,4899014,62.66%,905410,11.58%,533986,6.83%,Aug-25
TALL-24-2-Ro,Strophostyles umbellata,20072534,18262534,90.98%,4410440,21.97%,30698,0.15%,Aug-25
TALL-25-2-No,Chamaecrista nictitans,12099930,6619190,54.70%,1052560,8.70%,4439702,36.69%,Aug-25
TALL-25-2-Rh,Chamaecrista nictitans,11233780,4215832,37.53%,1712646,15.25%,1144386,10.19%,Aug-25
TALL-25-2-Ro,Chamaecrista nictitans,11643110,10072062,86.51%,2606382,22.39%,147690,1.27%,Aug-25
TALL-26-3-No,Clitoria sp.,2678812,1587040,59.24%,201888,7.54%,474026,17.70%,Aug-25
TALL-26-3-Rh,Clitoria sp.,2479730,1440434,58.09%,205672,8.29%,138936,5.60%,Aug-25
TALL-26-3-Ro,Clitoria sp.,4487224,3160848,70.44%,1602700,35.72%,176396,3.93%,Aug-25
TALL-27-1-No,Lespedeza sp.,4780240,1749962,36.61%,467836,9.79%,230876,4.83%,Aug-25
TALL-27-1-Rh,Lespedeza sp.,4455108,3072016,68.95%,504044,11.31%,266686,5.99%,Aug-25
TALL-27-1-Ro,Lespedeza sp.,4145980,3008404,72.56%,1541324,37.18%,109934,2.65%,Aug-25
TALL-28-1-No,Desmodium sp.,6662878,2056230,30.86%,425900,6.39%,3291366,49.40%,Aug-25
TALL-28-1-Rh,Desmodium sp.,3378656,1883442,55.75%,262320,7.76%,231226,6.84%,Aug-25
TALL-28-1-Ro,Desmodium sp.,3258514,2674948,82.09%,724934,22.25%,86054,2.64%,Aug-25
TALL-29-3-No,Lespedeza cuneata,6405738,3870374,60.42%,1687760,26.35%,1619154,25.28%,Aug-25
TALL-29-3-Rh,Lespedeza cuneata,7029892,5029420,71.54%,1054490,15.00%,386996,5.51%,Aug-25
TALL-29-3-Ro,Lespedeza cuneata,6235914,5330614,85.48%,3616620,58.00%,46858,0.75%,Aug-25
TALL-30-1-No,Clitoria sp.,9964812,7760244,77.88%,3993074,40.07%,305734,3.07%,Aug-25
TALL-30-1-Rh,Clitoria sp.,33857970,26663350,78.75%,8367856,24.71%,2151964,6.36%,Aug-25
TALL-30-1-Ro,Clitoria sp.,7186840,5176670,72.03%,3637300,50.61%,90320,1.26%,Aug-25
TALL-31-1-No,Desmodium sp.,8895802,4320872,48.57%,1150644,12.93%,2032338,22.85%,Aug-25
TALL-31-1-Rh,Desmodium sp.,10087688,7301590,72.38%,2429368,24.08%,642440,6.37%,Aug-25
TALL-31-1-Ro,Desmodium sp.,10148700,7643204,75.31%,2859928,28.18%,37072,0.37%,Aug-25
TALL-32-1-No,Lespedeza sp.,11937728,8133422,68.13%,3462930,29.01%,1103498,9.24%,Aug-25
